"String ID","Source text","Translation","Context","Path","Filename"
"246","flight mode land","vluchtmodus landen","","","fm-lnd.wav"
"247","flight mode float","vluchtmodus zweven","","","fm-flt.wav"
"248","flight mode speed","vluchtmodus snelheid","","","fm-spd.wav"
"249","flight mode fast","vluchtmodus snel","","","fm-fst.wav"
"250","flight mode normal","vluchtmodus normaal","","","fm-nrm.wav"
"251","flight mode cruise","vluchtmodus cruise","","","fm-crs.wav"
"252","flight mode acro","vluchtmodus acro","","","fm-acr.wav"
"253","flight mode race","vluchtmodus race","","","fm-rce.wav"
"254","flight mode launch","vluchtmodus lancering","","","fm-lch.wav"
"255","flight mode ping","vluchtmodus ping","","","fm-png.wav"
"256","flight mode thermal","vluchtmodus thermiek","","","fm-thm.wav"
"257","flight mode thermal left","vluchtmodus thermiek links","","","fm-thl.wav"
"258","flight mode thermal right","vluchtmodus thermiek rechts","","","fm-thr.wav"
"259","flight mode stabilise","vluchtmodus stabilisatie","","","fm-stb.wav"
"260","flight mode horizon","vluchtmodus horizon","","","fm-hor.wav"
"261","flight mode angle","vluchtmodus angle","","","fm-ang.wav"
"262","flight mode idle up 1","vluchtmodus idle-up één","","","fm-id1.wav"
"263","flight mode idle up 2","vluchtmodus idle-up twee","","","fm-id2.wav"
"264","low rate","lage rates","","","ratlow.wav"
"265","medium rate","gemiddelde rates","","","ratmed.wav"
"266","high rate","hoge rates","","","rathi.wav"
"267","take off","opstijgen","","","takeof.wav"
"268","sport","sport","","","sport.wav"
"269","pattern","kunstvlucht","","","pattrn.wav"
"270","3D","drie dee","","","3d.wav"
"271","landing","landing","","","landin.wav"
"272","idle up 1","idle-up één","","","idleu1.wav"
"273","idle up 2","idle-up twee","","","idleu2.wav"
"274","normal mode","normale modus","","","normod.wav"
"275","bank 0","bank nul","","","bank-0.wav"
"276","bank 1","bank één","","","bank-1.wav"
"277","bank 2","bank twee","","","bank-2.wav"
"278","bank 3","bank drie","","","bank-3.wav"
"279","heading lock","heading lock","","","headlo.wav"
"280","rate mode","rate modus","","","ratmod.wav"
"281","3D Mode","drie dee modus","","","3d-mod.wav"
"282","stabilise mode","stabilisatiemodus","","","stabmo.wav"
"283","on","aan","","","on.wav"
"284","off","uit","","","off.wav"
